city,GEOID,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors
Chicago,17031827100,0.820786092661812,108,184.0,0,0.933937565566814,78,105.0,0,0.7315622998573797,9,9.0,0,0.6756251968904156,14,15.0,0
Chicago,17043842100,0.8738821759352579,139,218.0,0,0.9390726540380258,127,196.0,0,0.8314454838586239,15,15.0,0,0.8459730436913386,18,19.0,0
Chicago,17043846314,0.826017110677649,88,116.0,0,0.9283610171934138,101,133.0,0,0.6769924126604479,8,8.0,0,0.5437754171820363,8,8.0,0
Chicago,18089011100,0.7944081078523101,35,41.0,0,0.742203221201924,89,158.0,0,0.19468689957213928,7,9.0,0,0.5355712138780998,11,12.0,0
Chicago,17097863006,0.38685280723454163,2,2.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0
Chicago,17031031700,0.9589326448196109,162,226.0,0,0.9718770499030601,303,712.0,0,0.8949683987780914,19,19.0,0,0.9499793735937393,35,37.0,0
Chicago,17031310200,0.9662318613985491,310,395.0,0,0.9632182447269643,119,159.0,0,0.7127263906780549,7,7.0,0,0.7420981285103057,6,6.0,0
Chicago,18089020100,0.8507088968902851,77,140.0,0,0.9112948788583414,154,264.0,0,0.7346815192840499,18,24.0,0,0.5815397068066809,13,18.0,0
Chicago,17043841002,0.7905018586577783,73,138.0,0,0.9094422854833328,153,232.0,0,0.6902069671624539,11,12.0,0,0.8156631257730546,16,16.0,0
Chicago,17031700200,0.8932812227332186,180,312.0,0,0.9553027741887177,201,337.0,0,0.8417194894490201,31,37.0,0,0.9158600652508828,28,33.0,0
Chicago,17043846308,0.8761616955590664,158,223.0,0,0.9640976603423594,65,85.0,0,0.38685280723454163,2,2.0,0,0.355245321275764,4,6.0,0
Chicago,18089030400,0.821993346647529,101,174.0,0,0.8237791853357322,63,98.0,0,0.5887621559162939,5,5.0,0,0.27927991012866066,5,5.0,0
Chicago,17031800600,0.7012963077801541,39,47.0,0,0.717335694993616,13,13.0,0,,0,0.0,0,-0.0,1,1.0,0
Chicago,17097863902,0.80692237646784,189,407.0,0,0.8074446234896836,47,58.0,0,0.27927991012866066,5,5.0,0,0.38685280723454163,2,2.0,0
Chicago,17089853500,0.7183266238472714,36,89.0,0,0.9632199180256845,84,149.0,0,0.6768518139945032,17,22.0,0,0.6631596010788876,18,31.0,0
Chicago,17037000800,0.965063680931623,119,304.0,0,0.9627877439374457,71,163.0,0,0.8879272408904272,17,28.0,0,0.8800837920558493,16,22.0,0
Chicago,17031300900,0.8031566089737984,117,139.0,0,0.9455023784135695,171,230.0,0,0.8314454838586239,15,15.0,0,0.8686942051932713,43,43.0,0
Chicago,17031823805,0.881298644110002,82,156.0,0,0.9525888507318812,58,71.0,0,0.5024424688300348,5,8.0,0,0.7435032788101106,5,5.0,0
Chicago,17097861803,0.8461545938715037,56,163.0,0,0.96665166428942,91,252.0,0,0.7084829450644815,19,30.0,0,0.8514674845990734,24,32.0,0
Chicago,17031804610,0.7657620867394693,32,55.0,0,0.8585490552915666,28,37.0,0,0.8459551891703707,26,31.0,0,0.7052589667219773,6,11.0,0
Chicago,17063000700,0.8088391487563874,47,79.0,0,0.902938557425587,89,166.0,0,0.5114887914806514,7,11.0,0,0.591484776914768,12,22.0,0
Chicago,17031241500,0.9867791213570178,472,828.0,0,0.887120379510031,58,78.0,0,0.8065735963827292,12,12.0,0,0.796457933048093,9,9.0,0
Chicago,17031802404,0.8344363529874745,73,108.0,0,0.8763975107670889,92,136.0,0,0.5333862650237753,7,7.0,0,0.5887621559162939,5,5.0,0
Chicago,17031040600,0.9736461498889578,240,395.0,0,0.8800254885603408,142,222.0,0,0.8690413667681063,10,10.0,0,0.8499774069493011,9,9.0,0
Chicago,17031826600,0.8877187719708896,82,115.0,0,0.8810229905044263,157,253.0,0,0.8379066699593953,16,20.0,0,0.6933157417883145,16,17.0,0
Chicago,17031161200,0.9123488745951824,54,68.0,0,0.9424093597460089,92,115.0,0,0.7526339571632314,17,18.0,0,0.8204962472123667,14,14.0,0
Chicago,17031430800,0.6385752788209856,50,66.0,0,0.9046955420479418,187,220.0,0,0.38685280723454163,2,2.0,0,0.355245321275764,3,3.0,0
Chicago,17031381900,0.6360677739014751,51,56.0,0,0.8126356078793104,52,75.0,0,0.355245321275764,3,3.0,0,0.355245321275764,3,3.0,0
Chicago,17031811500,0.875054248546545,117,180.0,0,0.8841003875094212,132,222.0,0,0.7366756105818172,14,19.0,0,0.6256143259879203,10,11.0,0
